148,53,32
95,87,76
128,97,95
114,104,93
63,53,32
195,179,191
64,68,61
150,160,112
68,54,49
115,92,9
107,89,53
143,88,88
64,84,101
175,123,98
98,101,93
90,109,58
128,104,5
156,119,13
114,101,56
114,112,60
109,50,88
86,98,34
87,122,94
91,76,57
63,85,5
106,128,52
123,135,91
131,82,68
58,52,50
94,115,55
76,86,26
89,118,144
100,105,80
180,161,159
109,144,188
102,97,81
135,148,95
86,97,59
77,128,75
78,84,81
135,112,96
57,87,38
74,81,55
75,89,57
111,120,78
101,36,2
148,106,65
108,99,8
112,114,82
102,93,90
121,121,121
136,83,13
110,112,94
59,31,27
119,115,100
88,118,71
134,119,113
118,116,40
59,64,51
89,111,63
86,118,83
100,105,45
76,88,49
159,131,102
66,93,36
123,111,102
111,122,97
141,68,22
112,112,112
134,118,40
107,101,99
79,134,151
34,21,8
152,137,91
151,141,92
162,142,79
150,144,114
52,67,100
68,78,58
127,115,49
82,86,24
165,109,3
166,114,3
159,118,10
158,139,14
113,102,88
135,103,84
105,122,50
151,146,89
103,106,22
115,130,43
125,159,68
109,142,73
98,115,48
131,116,61
196,153,116
110,114,47
156,140,48
174,157,36
101,104,95
121,129,94
188,172,87
122,130,102
134,102,58
124,117,61
192,177,28
56,75,45
117,113,80
104,105,88
112,112,101
104,110,66
96,99,58
86,99,92
56,74,45
106,103,89
126,110,80
100,111,110
84,49,23
39,36,15
84,90,33
118,136,95
124,109,73
93,64,62
117,105,20
145,144,127
151,154,114
134,131,106
148,148,119
115,108,102
139,138,61
143,139,99
70,80,37
80,89,90
64,78,4
87,115,33
143,123,83
175,171,164
164,97,75
91,62,73
106,83,43
156,158,21
111,85,39
144,54,68
116,147,121
131,135,22
97,95,46
96,124,47
84,85,46
107,107,54
91,92,18
156,154,48
105,108,56
96,97,55
94,118,117
100,90,42
167,155,133
50,65,41
91,35,31
168,139,33
178,193,154
129,140,101
120,133,83
127,142,84
164,133,12
169,137,33
97,101,71
87,103,80
111,14,22
95,102,80
123,117,97
139,120,113
113,91,22
131,23,45
214,203,141
104,139,166
92,98,117
112,100,56
105,57,45
130,108,56
191,142,111
76,52,58
116,93,66
109,95,68
149,144,140
169,181,122
148,133,145
31,27,25
78,47,47
99,42,43
38,30,27
186,161,147
92,88,49
109,57,36
130,123,88
135,127,96
90,90,55
147,141,119
148,133,103
109,86,32
81,70,22
59,50,23
101,105,87
108,102,91
150,88,77
57,71,44
105,114,72
105,111,71
106,116,75
124,133,93
117,122,89
115,125,89
117,125,86
110,115,81
121,116,60
118,113,55
125,128,105
127,123,93
160,145,71
200,162,163
72,73,76
156,111,60
100,93,55
73,64,51
154,132,3
144,131,102
105,107,82
121,114,108
151,79,100
199,190,192
124,74,59
89,121,130
181,155,107
142,127,96
85,84,43
81,89,68
153,67,75
164,153,135
135,128,112
184,184,184
125,130,84
71,71,71
119,100,18
102,98,68
110,98,75
89,119,15
151,146,119
122,120,179
135,131,138
114,107,83
133,44,74
118,111,66
78,40,26
163,157,137
165,144,117
152,153,145
138,134,115
202,79,131
106,99,52
69,40,48
132,111,98
98,89,49
147,96,83
143,127,52
71,92,35
82,82,82
195,141,141
212,175,1
112,109,84
166,121,118
139,111,14
144,126,17
143,111,30
145,126,72
137,96,65
129,97,109
131,130,116
196,193,191
146,141,139
124,135,91
123,150,93
110,110,110
131,83,87
47,57,42
127,152,114
123,108,66
146,121,58
211,143,75
62,67,37
157,123,80
105,75,64
113,114,99
98,105,76
122,116,107
113,109,103
184,133,135
120,120,129
128,77,83
106,91,47
231,226,197
155,134,120
123,81,10
178,172,165
159,162,108
163,166,166
62,60,47
133,122,87
110,87,105
159,138,143
234,235,231
122,87,78
167,161,159
126,121,120
118,96,76
110,91,68
160,83,123
85,76,43
95,128,156
92,115,80
170,177,94
129,119,102
96,94,65
139,102,81
161,63,35
99,97,62
81,82,50
132,138,101
78,85,50
98,108,57
103,93,83
116,65,43
135,144,117
119,120,70
100,112,65
110,116,83
160,164,166
88,86,81
61,77,31
110,116,70
124,122,106
151,123,116
99,111,120
155,108,115
105,87,64
110,107,92
80,82,82
122,148,72
97,124,66
97,130,55
64,70,26
143,183,115
124,123,111
159,101,48
159,108,112
128,120,104
191,200,142
208,208,182
144,127,115
106,106,106
71,90,42
100,114,107
184,73,51
119,119,103
65,95,31
122,63,29
139,142,117
102,118,64
104,107,93
71,50,23
21,34,24
80,98,36
96,112,63
93,111,53
93,103,45
116,76,57
75,77,90
90,103,82
122,126,122
56,53,22
140,89,42
42,52,27
63,73,76
111,101,49
75,87,38
106,111,86
161,122,82
83,79,35
118,123,64
59,58,58
105,118,49
68,92,27
99,127,64
109,53,67
96,47,43
138,132,104
170,184,166
153,141,104
94,90,90
80,82,60
90,91,83
142,76,66
80,83,44
88,80,23
141,161,192
111,96,54
102,111,67
173,91,79
95,85,38
61,73,22
121,108,98
115,100,73
131,116,105
116,94,92
100,101,27
156,125,5
107,124,45
115,106,55
142,80,54
92,106,79
189,174,123
130,125,116
132,138,82
128,133,105
149,124,6
125,139,99
116,120,97
178,165,125
119,115,85
130,154,154
133,132,51
128,120,77
